multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad,imagen,patente_imagen,ratio
3,WU341A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,44.0,,HF3461,0.5
5,BX55DOG,2021-01-21,00:00,94.0,60,AV SIEMPRE VIVA,,ERROR,31.0,,8X5SDOG,0.7143
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e1120bfe48f85c1b_patente.jpg,BP*717,0.9091
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,29.0,,JANVIRGINIAD;<OUTSTDN,0.5
13,GE1466,2020-08-12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,33.0,,6E1766,0.6667
17,5777770,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,51.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,57777.70,0.9333
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,8.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,[BHRP:770|,0.8235
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,37.0,,HNS79,0.3636
24,XIIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
26,HF58HXP,2022-11-20,14:01,62.0,40,RUTA 9,,APELADA,20.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,60.0,,M431ZM],0.7692
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,25.0,,6E1766,0.6667
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,43.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,8.0,,BTIAHV,0.7692
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,46.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,"66,111,72",0.875
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,64.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,0.8571
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,72.0,,81ZF0,0.5455
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,24.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,0.8571
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,6.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,8.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
55,9999868,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,15.0,,2999961,0.7143
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,12.0,,BTIAHV,0.7692
57,NTHGLFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,9.0,,OCTUAOUNTHGLFTI,0.6364
59,FD1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,17.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD-147,0.8333
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,40.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.8571
61,VY90540,2022-11-08,00:00,99.0,80,RUTA 9,R01,ERROR,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente_1.jpg,VY90540,1.0
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,18.0,,'CELILOV6NCE831,0.6364
